Ref,Val,Package,PosX,PosY,Rot,Side
"C29","100pF DEC3","C_0603_1608Metric",167.400000,-110.000000,180.000000,bottom
"AE1","2450AT18A100E","ANT-SMD_L3.2-W1.6",196.000000,-103.500000,0.000000,top
"C23","4.7uF","C_0805_2012Metric",150.000000,-101.500000,0.000000,top
"C24","100nF","C_0603_1608Metric",150.000000,-104.000000,0.000000,top
"C25","100nF","C_0603_1608Metric",150.000000,-106.200000,0.000000,top
"C26","100nF","C_0603_1608Metric",150.000000,-108.400000,0.000000,top
"C27","100nF DEC1","C_0603_1608Metric",150.000000,-110.600000,0.000000,top
"C28","100nF DEC2","C_0603_1608Metric",150.000000,-112.800000,0.000000,top
"C30","1uF DEC4","C_0603_1608Metric",150.000000,-117.200000,0.000000,top
"C31","1uF DEC5","C_0603_1608Metric",153.700000,-101.500000,0.000000,top
"C32","1uF DEC6","C_0603_1608Metric",153.700000,-103.800000,0.000000,top
"C33","4.7uF DECUSB","C_0805_2012Metric",153.700000,-106.200000,0.000000,top
"C34","12pF","C_0603_1608Metric",176.100000,-105.400000,0.000000,top
"C35","12pF","C_0603_1608Metric",172.800000,-105.400000,0.000000,top
"C36","20pF","C_0603_1608Metric",155.300000,-112.345000,180.000000,top
"C37","20pF","C_0603_1608Metric",155.300000,-114.655000,180.000000,top
"C38","100nF","C_0603_1608Metric",153.700000,-117.500000,0.000000,top
"C39","10uF","C_0805_2012Metric",148.000000,-119.500000,0.000000,top
"C42","1uF","C_0603_1608Metric",121.000000,-135.000000,0.000000,top
"C43","4.7uF","C_0805_2012Metric",121.000000,-139.000000,0.000000,top
"C44","4.7uF","C_0805_2012Metric",130.000000,-137.000000,90.000000,top
"C45","10uF 6.3V X5R","C_0805_2012Metric",136.000000,-131.500000,0.000000,top
"C46","10uF 6.3V X5R","C_0805_2012Metric",140.000000,-131.500000,0.000000,top
"C47","100nF","C_0603_1608Metric",146.000000,-131.500000,90.000000,top
"C48","22uF 6.3V X5R","C_0805_2012Metric",149.000000,-134.000000,90.000000,top
"C49","22uF 6.3V X5R","C_0805_2012Metric",151.500000,-140.000000,90.000000,top
"C50","22uF 6.3V X5R","C_0805_2012Metric",142.000000,-147.000000,0.000000,top
"C51","1uF","C_0603_1608Metric",132.000000,-130.000000,0.000000,top
"C52","1.0pF C0G RF (Nordic ref)","C_0201_0603Metric",169.200000,-109.500000,0.000000,top
"C53","2.0pF C0G RF (Nordic ref)","C_0201_0603Metric",179.250000,-109.820000,90.000000,top
"C54","1.0pF C0G RF (Nordic ref)","C_0201_0603Metric",181.950000,-109.820000,90.000000,top
"C55","100nF","C_0603_1608Metric",154.000000,-121.000000,0.000000,top
"C56","10uF","C_0805_2012Metric",154.000000,-136.500000,0.000000,top
"C57","100nF","C_0603_1608Metric",154.000000,-128.500000,0.000000,top
"C58","10uF","C_0805_2012Metric",154.000000,-133.500000,0.000000,top
"C59","100nF","C_0603_1608Metric",154.000000,-131.000000,0.000000,top
"C60","10uF","C_0805_2012Metric",154.000000,-123.500000,0.000000,top
"C61","2.2uF","C_0603_1608Metric",170.113000,-130.382000,0.000000,top
"C62","2.2uF","C_0603_1608Metric",159.147000,-124.862000,180.000000,top
"C63","100nF","C_0603_1608Metric",158.000000,-130.500000,0.000000,top
"C64","2.2nF C0G","C_0603_1608Metric",158.000000,-133.500000,0.000000,top
"C65","2.2nF C0G","C_0603_1608Metric",154.000000,-126.000000,0.000000,top
